FODDERA.LIN#2    gfx=0404 handler=0x213d68
MEDTANK.LIN#0    gfx=0003 handler=0x215bea
POPUP.LIN#0      gfx=000e handler=0x2163ce
ROTOBASE.LIN#12  gfx=180d handler=0x21566e
MINE.LIN#0       gfx=0011 handler=0x215836
FLAME.LIN#0      gfx=0013 handler=0x216830
PROXMINE.LIN#0   gfx=000f handler=0x216700
TRAIN.LIN#0      gfx=0010 handler=0x21589e
CAMOGUN.LIN#0    gfx=0016 handler=0x216932
YELLOW.LIN#0     gfx=0014 handler=0x2143dc
BIRD.LIN#0       gfx=0015 handler=0x21434e
JETS.LIN#0       gfx=001f handler=0x2159c0
JETS.LIN#1       gfx=021f handler=0x215a3e
BLACKJET.LIN#0   gfx=0020 handler=0x2137b8
_ONERIG.LIN#0    gfx=003d handler=0x213e86
PYRAMID.LIN#1    gfx=0221 handler=0x216586
EGGS.LIN#2       gfx=041d handler=0x214198
DIAGUN.LIN#2     gfx=041a handler=0x21648e
DIAGUN.LIN#4     gfx=081a handler=0x2164a8
DESTRAIN.LIN#3   gfx=0619 handler=0x215ed0
TRILO.LIN#4      gfx=0822 handler=0x213f8a
_PLAT.LIN#9      gfx=1242 handler=0x2160d2
_PLAT.LIN#10     gfx=1442 handler=0x2160d8
TRUCK.LIN#0      gfx=0024 handler=0x215a84
VTOL.LIN#0       gfx=0023 handler=0x214064
_AIRPORT.LIN#14  gfx=1c3c handler=0x213690
_CORN.LIN#7      gfx=0e41 handler=0x213f2c
JEEPHELI.LIN#43  gfx=5600 handler=0x216a50
MAMA.LIN#0       gfx=0025 handler=0x2138ca
FLATTANK.LIN#0   gfx=0027 handler=0x215b24
TILT.LIN#0       gfx=0026 handler=0x213b08
FISH.LIN#0       gfx=001e handler=0x216ec8
_RIGS.LIN#4      gfx=083e handler=0x216f4a
JUNTANK.LIN#2    gfx=042b handler=0x2162b2
JUNTANK.LIN#1    gfx=022b handler=0x215df2
LAKEGUN.LIN#0    gfx=0028 handler=0x216f8c
LAKEGUN.LIN#7    gfx=0e28 handler=0x216ffc
LAKESUB.LIN#0    gfx=0029 handler=0x21706a
HOVER.LIN#4      gfx=082a handler=0x217186
XEVIOUS.LIN#5    gfx=0a2e handler=0x21363a
XEVIOUS.LIN#9    gfx=122e handler=0x213bf8
XEVIOUS.LIN#0    gfx=002e handler=0x216b12
SEAPLANE.LIN#0   gfx=002f handler=0x2172bc
EDGE.LIN#0       gfx=0008 handler=0x2134e6
SKYEYEA.LIN#0    gfx=0009 handler=0x213318
SKYEYEB.LIN#8    gfx=100a handler=0x21340c
TINYTRUK.LIN#0   gfx=000b handler=0x216bfc
AIRMINE.LIN#0    gfx=0012 handler=0x2132c8
SKI.LIN#0        gfx=0030 handler=0x215b80
TAP.LIN#0        gfx=004e handler=0x215700
EGGS.LIN#12      gfx=181d handler=0x216604
_LAVA.LIN#20     gfx=284c handler=0x216cbc
BUNNY.LIN#2      gfx=044f handler=0x21358e
GOOSE.LIN#0      gfx=0017 handler=0x2184aa
BOS.LIN#0        gfx=0050 handler=0x21380a
FROG.LIN#0       gfx=0053 handler=0x2140fc
ORB.LIN#0        gfx=0052 handler=0x216da4
GOOSE.LIN#7      gfx=0e17 handler=0x2144b4
MILL.LIN#0       gfx=0058 handler=0x2136f4
DADA.LIN#0       gfx=0059 handler=0x21374c
INST1.LIN#14     gfx=1c1c handler=0x2173ee
INST1.LIN#11     gfx=161c handler=0x217530
INST1.LIN#9      gfx=121c handler=0x217674
INST2.LIN#2      gfx=042c handler=0x2176fa
INST2.LIN#0      gfx=002c handler=0x217808
INST3.LIN#3      gfx=0631 handler=0x21784e
INST3.LIN#12     gfx=1831 handler=0x217a5a
INST4.LIN#6      gfx=0c32 handler=0x217af6
INST4.LIN#0      gfx=0032 handler=0x217b8e
INST4.LIN#3      gfx=0632 handler=0x217c62
INST5.LIN#0      gfx=0056 handler=0x217d88
JEEPHELI.LIN#23  gfx=2e00 handler=0x21698a
JEEPHELI.LIN#31  gfx=3e00 handler=0x2169d6
DEFAULT          gfx=0000 handler=0x2132c4
