heli-pickup LAB_03E7
big-explosion LAB_03C1
wreck-explosion LAB_03C3
enemy-explosion LAB_03C5
smart-bomb LAB_03C9
enemy-hit LAB_03EB
player-shot LAB_03E2
missile-launch LAB_040C
bullet-plop LAB_03D6
jeep-jump LAB_03D3
cannon LAB_03D0
alarm LAB_03F8
flame-hiss LAB_03EE
extra-life LAB_0421
ricochet LAB_041F
jet-whoosh LAB_0401
bomb-whistle LAB_0411
fireball-drop LAB_03CC
boss-hit LAB_03D6
death-warble LAB_0405
turret-shot LAB_040F
takeoff-drone LAB_0416
enemy-destroyed LAB_041B
token-pickup LAB_03F3
homing-bullet LAB_03FE
game-start LAB_03F8
